id,x,y
Orig,0.0027,0.0102
CFS1,-0.0739,-0.0237
CFS2,-0.0631,-0.002
CFS3,-0.0528,0.0251
CFS4,-0.0733,-0.0201
CFS5,-0.0521,0.029
CFS6,-0.0775,-0.0217
CFS7,-0.0538,0.0359
CFS8,-0.0076,-0.0433
CFS9,-0.0556,0.0422
CFS10,0.0015,-0.0244
CFS11,0.0228,0.0314
CFS12,-0.0745,-0.0206
CFS13,-0.0539,0.0282
CFS14,-0.009,-0.0455
CFS15,0.0246,0.0306
CFS16,-0.0754,-0.0231
CFS17,-0.0539,0.032
CFS18,-0.0085,-0.0479
CFS19,0.0266,0.0325
CFS20,-0.071,-0.0398
CFS21,-0.0639,-0.0121
CFS22,-0.0577,0.0171
CFS23,-0.0584,0.0194
CFS24,0.009,-0.0482
CFS25,0.0218,-0.0305
CFS26,0.0417,0.0115
CFS27,0.0407,0.0108
CFS28,0.0433,0.0124
CFS29,-0.0678,-0.0533
CFS30,-0.0655,0.0138
CFS31,0.0217,-0.0531
CFS32,0.0342,-0.0357
CFS33,-0.066,0.0369
CFS34,0.0505,-0.0043
CFS35,0.0202,-0.059
CFS36,0.0477,-0.0056
CFS37,0.0224,-0.0605
CFS38,0.0504,-0.0055
CFS39,0.0232,-0.0573
CFS40,-0.0708,0.0123
CFS41,0.0341,-0.0381
CFS42,0.0495,-0.0114
CFS43,0.0339,-0.0405
CFS44,0.0469,-0.0133
CFS45,0.0367,-0.0413
CFS46,0.0497,-0.0134
CFS47,0.04,-0.0166
CFS48,0.0005,0.0109
CFS49,-0.0735,-0.0222
CFS50,-0.0549,0.0257
CFS51,-0.0114,-0.0386
CFS52,-0.0001,-0.0177
CFS53,-0.0556,0.0376
CFS54,0.0207,0.0241
CFS55,-0.0139,-0.0395
CFS56,-0.0138,-0.0421
CFS57,0.0051,-0.0453
CFS58,-0.0599,0.0175
CFS59,0.0324,0.004
CFS60,0.0265,-0.0359
CFS61,0.0384,-0.0099
CFS62,0.0379,-0.0126
CFS63,0.0413,-0.0117
CFS64,0.0402,-0.0173
CFS65,-0.0011,0.0126
CFS66,0.0179,-0.0563
CFS67,-0.0139,-0.0327
CFS68,-0.0557,0.0305
CFS69,-0.0018,-0.0124
CFS70,0.0164,0.0216
CFS71,-0.0055,-0.012
CFS72,0.0121,0.0205
CFS73,-0.0056,-0.0144
CFS74,0.0134,0.0256
CFS75,0.0218,-0.0003
CFS76,0.0271,0.0043
CFS77,0.0261,0.0038
CFS78,0.0295,0.0068
CFS79,0.0365,-0.0093
CFS80,0.0038,0.0135
CFS81,0.001,0.0272
CFS82,-0.0056,-0.0079
CFS83,-0.0536,0.0297
CFS84,0.0075,0.0147
CFS85,0.0027,0.0154
CFS86,0.0038,0.0218
CFS87,0.0073,0.028
CFS88,0.0201,0.002
CFS89,0.0012,0.0141
CFS90,0.0034,0.0171
CFS91,0.0024,0.0206
CFS92,0.0021,0.0374
CFS93,-0.0141,-0.0318
CFS94,-0.0554,0.0285
CFS95,-0.003,-0.0118
CFS96,0.0145,0.0208
CFS97,-0.0071,-0.0112
CFS98,0.01,0.0197
CFS99,-0.0072,-0.0135
CFS100,0.0112,0.0249
CFS101,0.0199,0.0006
CFS102,-0.0003,0.0138
CFS103,0.0012,0.0204
CFS104,0.0001,0.0183
CFS105,-0.0008,0.0158
CFS106,0.002,0.0109
CFS107,-0.0011,0.0354
CFS108,-0.0722,-0.02
CFS109,-0.0529,0.0252
CFS110,-0.0094,-0.0418
CFS111,0.0018,-0.0195
CFS112,0.0218,0.0278
CFS113,-0.0578,0.0172
CFS114,0.037,0.0086
CFS115,0.0179,-0.0565
CFS116,0.0437,-0.0063
CFS117,0.0305,-0.0386
CFS118,0.0428,-0.0134
CFS119,0.0427,-0.0163
CFS120,0.0459,-0.0164
CFS121,-0.0139,-0.0364
CFS122,0.0147,0.0164
CFS123,0.0343,-0.0122
CFS124,-0.0054,-0.0101
CFS125,0.0099,0.0159
CFS126,0.0057,0.0187
CFS127,0.0066,0.0244
CFS128,0.0226,0.0021
CFS129,0.0021,0.0135
CFS130,-0.0067,-0.0096
CFS131,0.0077,0.0142
CFS132,0.0021,0.0173
CFS133,0.0043,0.023
CFS134,0.0001,0.0117
CFS135,-0.0025,0.0242
CFS136,0.0027,0.0103
CFR1,-0.1379,0.0006
CFR2,-0.0097,-0.0825
CFR3,0.0645,-0.0539
CFR4,0.0201,0.0752
CFR5,0.0222,0.078
CFR6,0.0814,0.0148
CFR7,-0.0015,-0.0214
CFR8,0.0427,0.0589
CFR9,0.0233,0.0479
CFR10,-0.0107,-0.0746
CFR11,0.0322,0.0665
CFR12,0.0952,-0.0035
CFR13,-0.1175,-0.024
CFR14,0.0684,0.0427
CFR15,0.0188,0.069
CFR16,0.0614,0.0182
CFR17,-0.0895,-0.1229
CFR18,0.0904,-0.004
CFR19,0.0169,0.0631
CFR20,0.0849,0.0246
CFR21,0.0125,0.0561
CFR22,0.0591,-0.0797
CFR23,-0.081,0.0786
CFR24,0.0354,0.0408
CFR25,0.0324,0.0523
CFR26,-0.1228,-0.003
